"BRICS Country","Gulf Country","Year","Type of Project","Sector","Depth","Companies Involved","Notes","Source/Link"
"China","UAE","2025","Supply Deal","Renewables (Solar)","Medium","""Arctech, Undisclosed UAE entity""","Arctech to supply 1.5 GW of solar tracking systems for a project in the UAE.","https://www.cfr.org/article/china-middle-east-january-2025"
"China","UAE","2023","Construction/Operation","Renewables (Solar)","High","""Chinese companies (unspecified), Abu Dhabi National Energy Company (TAQA)""","""China-built Al Dhafra solar plant started full operations, contributing significantly to UAE's clean energy.""","https://www.scmp.com/news/china/science/article/3242801/china-engineers-complete-largest-solar-farm-earth-uae-ahead-cop28"
"China","UAE","2025","Long-term Supply Agreement","LNG","High","""CNOOC, ADNOC""","CNOOC signed a long-term deal to buy LNG from ADNOC.","https://www.reuters.com/business/energy/chinas-cnooc-agrees-lng-deal-with-uaes-adnoc-amid-tariff-war-with-us-2025-04-21/"
"China","UAE","2025","Investment","Oil","Medium","""Jereh Oilfield Services Group, Undisclosed UAE entity""","Jereh Oilfield Services Group won a $920 million contract for upgrading oil fields in the UAE.","https://www.cfr.org/article/china-middle-east-february-2025"
"China","UAE","2024","Cooperation Agreement","Nuclear","Medium","""FANR, NNSA""","UAE's FANR and China's NNSA signed a three-year action plan for nuclear regulatory collaboration.","https://www.fanr.gov.ae/en/Pages/News.aspx?g=AAE26DD8-88E6-46CE-88BC-E969A21D7FF0"
"China","Saudi Arabia","2025","Investment","Renewables (Solar)","High","""ACWA Power, Undisclosed Chinese entities""","""ACWA Power announced plans to invest $50 billion in China by 2030, focusing on renewable energy.""","https://www.cfr.org/article/china-middle-east-january-2025"
"China","Saudi Arabia","2025","Project Commissioning","Renewables (Solar)","High","""China Energy, Saudi Electricity Company (SEC)""","""China Energy commissioned the Shuaibah Solar Power Plant in Jeddah, the region's largest solar plant.""","https://solarquarter.com/2025/05/21/china-energy-commissions-regions-largest-solar-power-plant-in-saudi-arabia/"
"China","Saudi Arabia","2025","Construction Contract","Electricity","Medium","""China Energy Engineering, Saudi Electricity Company (SEC)""","China Energy Engineering was awarded the contract for the Ghazlan Power Plant Expansion Project.","https://www.saudigulfprojects.com/2025/04/china-energy-awarded-ghazlan-power-plant-expansion-project/"
"China","Saudi Arabia","2025","Supply Agreement","Oil","Medium","""Saudi Aramco, Chinese refiners""","Saudi Arabia's crude oil exports to China are set to reach a two-year high in August 2025.","https://www.reuters.com/business/energy/saudi-oil-exports-china-rise-over-two-year-high-august-sources-say-2025-07-11/"
"China","Saudi Arabia","2025","Strategic Alliance","Renewables","High","""Saudi Arabia, China""","Saudi Arabia and China are forming a renewable energy alliance with an $8.3 billion plan.","https://www.firstonline.info/en/arabia-saudita-e-cina-alleanza-sulle-rinnovabili-riad-annuncia-piano-da-83-miliardi-di-dollari/"
"China","Kuwait","2025","Framework Agreement","Renewables (Solar)","Medium","""Undisclosed Chinese entities, Kuwaiti government/energy companies""","Kuwait and China signed a framework agreement to advance the development of the third and fourth zones of the Al Shagaya and Al Abdiliya solar projects.","https://enterprise.news/climate/en/news/story/145ecb84-71b4-4b8f-ae1b-74dea49b143b/kuwait-advances-its-renewables-partnership-with-china"
"China","Kuwait","2025","Project Development","Renewables (Solar)","Medium","""Chinese companies (unspecified), Kuwaiti government""","China plans to construct a major solar power plant in Kuwait to increase the country's renewable energy capacity.","https://www.pvknowhow.com/news/china-solar-power-kuwait-plant-2028/"
"China","Kuwait","2025","Cooperation Agreement","Renewables (Solar)","Medium","""Chinese companies, Kuwaiti government""","""China and Kuwait signed an agreement to expand solar power projects, including increasing capacity at two existing solar projects.""","https://www.arabnews.com/node/2594037/amp"
"China","Kuwait","2025","Bid/Contract","Electricity","Low","""TBEA, Public Authority for Housing Welfare (PAHW)""","China's TBEA was the low bidder for two electricity distribution projects for Kuwait's PAHW.","https://news.goalfore.com/detail/83311/chinese-firm-bids-low-for-kuwait-electricity-contracts.html"
"China","Kuwait","2025","Strategic Cooperation","Energy Transition","High","""Chinese government, Kuwaiti government""","Kuwait is turning to China to fast-track its energy shift under Vision 2035.","https://www.tacticalreport.com/daily/63702-kuwait-pm-sheikh-ahmad-drives-energy-overhaul-backed-by-china"
"China","Qatar","2022","Long-term Supply Agreement","LPG","Medium","""Qatar Petroleum, Wanhua Chemical Group""","""Qatar Petroleum signed a 10-year agreement to supply 800,000 metric tons per year of LPG to Wanhua Chemical Group.""","https://www.euro-petrole.com/qatar-petroleum-announces-a-10-year-lpg-supply-agreement-with-china-s-wanhua-chemicals-n-i-19717"
"China","Qatar","2022","Long-term Supply Agreement","LNG","High","""Sinopec, QatarEnergy""","Sinopec signed a 27-year LNG supply deal with QatarEnergy for 4 million tons per annum.","https://www.reuters.com/business/energy/qatarenergy-signs-27-year-lng-deal-with-chinas-sinopec-2022-11-21/"
